DATE,DFF
1955-01-01,1.3450000000000000
1955-04-01,1.5010989010989011
1955-07-01,1.9365217391304348
1955-10-01,2.3590217391304348
1956-01-01,2.4823076923076923
1956-04-01,2.6945054945054945
1956-07-01,2.8085869565217391
1956-10-01,2.9298913043478261
1957-01-01,2.9330000000000000
1957-04-01,3.0000000000000000
1957-07-01,3.2307608695652174
1957-10-01,3.2527173913043478
1958-01-01,1.8697777777777778
1958-04-01,0.93692307692307692308
1958-07-01,1.3189130434782609
1958-10-01,2.1633695652173913
1959-01-01,2.5770000000000000
1959-04-01,3.0796703296703297
1959-07-01,3.5733695652173913
1959-10-01,3.9918478260869565
1960-01-01,3.9313186813186813
1960-04-01,3.6950549450549451
1960-07-01,2.9375000000000000
1960-10-01,2.2961956521739130
1961-01-01,1.9875555555555556
1961-04-01,1.7335164835164835
1961-07-01,1.6793478260869565
1961-10-01,2.3967391304347826
1962-01-01,2.4583333333333333
1962-04-01,2.6071428571428571
1962-07-01,2.8451086956521739
1962-10-01,2.9240217391304348
1963-01-01,2.9656666666666667
1963-04-01,2.9645054945054945
1963-07-01,3.3265217391304348
1963-10-01,3.4513043478260870
1964-01-01,3.4643956043956044
1964-04-01,3.4879120879120879
1964-07-01,3.4565217391304348
1964-10-01,3.5751086956521739
1965-01-01,3.9772222222222222
1965-04-01,4.0794505494505495
1965-07-01,4.0775000000000000
1965-10-01,4.1707608695652174
1966-01-01,4.5590000000000000
1966-04-01,4.9137362637362637
1966-07-01,5.4106521739130435
1966-10-01,5.5597826086956522
1967-01-01,4.8194444444444444
1967-04-01,3.9923076923076923
1967-07-01,3.8918478260869565
1967-10-01,4.1728260869565217
1968-01-01,4.7926373626373626
1968-04-01,5.9842857142857143
1968-07-01,5.9465217391304348
1968-10-01,5.9181521739130435
1969-01-01,6.5674444444444444
1969-04-01,8.3325274725274725
1969-07-01,8.9810869565217391
1969-10-01,8.9416304347826087
1970-01-01,8.5588888888888889
1970-04-01,7.8832967032967033
1970-07-01,6.7110869565217391
1970-10-01,5.5682608695652174
1971-01-01,3.8627777777777778
1971-04-01,4.5672527472527473
1971-07-01,5.4755434782608696
1971-10-01,4.7476086956521739
1972-01-01,3.5490109890109890
1972-04-01,4.3014285714285714
1972-07-01,4.7414130434782609
1972-10-01,5.1455434782608696
1973-01-01,6.5382222222222222
1973-04-01,7.8184615384615385
1973-07-01,10.5577173913043478
1973-10-01,9.9967391304347826
1974-01-01,9.3337777777777778
1974-04-01,11.2513186813186813
1974-07-01,12.0985869565217391
1974-10-01,9.3443478260869565
1975-01-01,6.3053333333333333
1975-04-01,5.4184615384615385
1975-07-01,6.1558695652173913
1975-10-01,5.4111956521739130
1976-01-01,4.8264835164835165
1976-04-01,5.1953846153846154
1976-07-01,5.2834782608695652
1976-10-01,4.8742391304347826
1977-01-01,4.6606666666666667
1977-04-01,5.1574725274725275
1977-07-01,5.8164130434782609
1977-10-01,6.5113043478260870
1978-01-01,6.7595555555555556
1978-04-01,7.2826373626373626
1978-07-01,8.0947826086956522
1978-10-01,9.5778260869565217
1979-01-01,10.0732222222222222
1979-04-01,10.1819780219780220
1979-07-01,10.9401086956521739
1979-10-01,13.5802173913043478
1980-01-01,15.0652747252747253
1980-04-01,12.6689010989010989
1980-07-01,9.8231521739130435
1980-10-01,15.8528260869565217
1981-01-01,16.5955555555555556
1981-04-01,17.7869230769230769
1981-07-01,17.5943478260869565
1981-10-01,13.5883695652173913
1982-01-01,14.2074444444444444
1982-04-01,14.5141758241758242
1982-07-01,11.0127173913043478
1982-10-01,9.2839130434782609
1983-01-01,8.6575555555555556
1983-04-01,8.8027472527472527
1983-07-01,9.4581521739130435
1983-10-01,9.4301086956521739
1984-01-01,9.6885714285714286
1984-04-01,10.5547252747252747
1984-07-01,11.3922826086956522
1984-10-01,9.2625000000000000
1985-01-01,8.4751111111111111
1985-04-01,7.9243956043956044
1985-07-01,7.9009782608695652
1985-10-01,8.1044565217391304
1986-01-01,7.8268888888888889
1986-04-01,6.9184615384615385
1986-07-01,6.2094565217391304
1986-10-01,6.2667391304347826
1987-01-01,6.2225555555555556
1987-04-01,6.6500000000000000
1987-07-01,6.8395652173913043
1987-10-01,6.9196739130434783
1988-01-01,6.6659340659340659
1988-04-01,7.1549450549450549
1988-07-01,7.9834782608695652
1988-10-01,8.4684782608695652
1989-01-01,9.4464444444444444
1989-04-01,9.7257142857142857
1989-07-01,9.0835869565217391
1989-10-01,8.6144565217391304
1990-01-01,8.2480000000000000
1990-04-01,8.2393406593406593
1990-07-01,8.1602173913043478
1990-10-01,7.7433695652173913
1991-01-01,6.4304444444444444
1991-04-01,5.8640659340659341
1991-07-01,5.6452173913043478
1991-10-01,4.8184782608695652
1992-01-01,4.0242857142857143
1992-04-01,3.7740659340659341
1992-07-01,3.2592391304347826
1992-10-01,3.0348913043478261
1993-01-01,3.0423333333333333
1993-04-01,2.9972527472527473
1993-07-01,3.0577173913043478
1993-10-01,2.9882608695652174
1994-01-01,3.2093333333333333
1994-04-01,3.9380219780219780
1994-07-01,4.4854347826086957
1994-10-01,5.1679347826086957
1995-01-01,5.8027777777777778
1995-04-01,6.0191208791208791
1995-07-01,5.7971739130434783
1995-10-01,5.7194565217391304
1996-01-01,5.3709890109890110
1996-04-01,5.2439560439560440
1996-07-01,5.3061956521739130
1996-10-01,5.2808695652173913
1997-01-01,5.2784444444444444
1997-04-01,5.5221978021978022
1997-07-01,5.5346739130434783
1997-10-01,5.5073913043478261
1998-01-01,5.5193333333333333
1998-04-01,5.4974725274725275
